,Player,Nation,Pos_x,Squad,Age,MP,Starts,Min,90s,Gls,Ast,Height,Foot,Market Value,Year
132,Eric García,ESP,DF,Manchester City,18,13,8,793,8.8,0,0,182.0,right,22000000.0,2019.0
133,Dwight Gayle,ENG,FW,Newcastle Utd,28,20,10,850,9.4,4,2,174.0,right,4400000.0,2019.0
134,Paulo Gazzaniga,ARG,GK,Tottenham,27,18,17,1613,17.9,0,0,196.0,right,3300000.0,2019.0
135,Jean-Philippe Gbamin,CIV,MF,Everton,23,2,1,136,1.5,0,0,186.0,right,16500000.0,2019.0
136,David de Gea,ESP,GK,Manchester Utd,28,38,38,3420,38.0,0,0,189.0,right,19800000.0,2019.0
137,Anwar El Ghazi,NED,MF,Aston Villa,24,34,26,2051,22.8,4,4,189.0,right,14300000.0,2019.0
138,Morgan Gibbs-White,ENG,FW,Wolves,19,7,1,129,1.4,0,0,178.0,right,7700000.0,2019.0
139,Billy Gilmour,SCO,MF,Chelsea,18,6,2,194,2.2,0,0,170.0,right,11000000.0,2019.0
140,Olivier Giroud,FRA,FW,Chelsea,32,18,12,993,11.0,8,0,193.0,left,4400000.0,2019.0
141,Ben Godfrey,ENG,DF,Norwich City,21,30,30,2644,29.4,0,0,186.0,right,27500000.0,2019.0
142,Ben Godfrey,ENG,DF,Norwich City,21,30,30,2644,29.4,0,0,186.0,right,12650000.0,2019.0
143,André Gomes,POR,MF,Everton,26,19,17,1458,16.2,0,1,188.0,right,22000000.0,2019.0
144,Joe Gomez,ENG,DF,Liverpool,22,28,22,2004,22.3,0,0,188.0,right,33000000.0,2019.0
145,Anthony Gordon,ENG,FW,Everton,18,11,4,440,4.9,0,1,182.0,right,5500000.0,2019.0
146,Dan Gosling,ENG,MF,Bournemouth,29,24,14,1264,14.0,3,1,180.0,right,2200000.0,2019.0
147,Andre Gray,JAM,FW,Watford,28,23,7,755,8.4,2,0,178.0,right,10450000.0,2019.0
148,Demarai Gray,ENG,FW,Leicester City,23,21,3,622,6.9,2,3,183.0,right,8800000.0,2019.0
149,Jack Grealish,ENG,MF,Aston Villa,23,36,36,3233,35.9,8,6,180.0,right,71500000.0,2019.0
150,Mason Greenwood,ENG,FW,Manchester Utd,17,31,12,1320,14.7,10,1,181.0,both,55000000.0,2019.0
151,Pascal Groß,GER,MF,Brighton,28,29,22,1796,20.0,2,4,181.0,right,7700000.0,2019.0
152,Vicente Guaita,ESP,GK,Crystal Palace,32,35,35,3150,35.0,0,0,190.0,right,2200000.0,2019.0
153,Angus Gunn,ENG,GK,Southampton,23,10,10,900,10.0,0,0,196.0,right,3300000.0,2019.0
154,Sébastien Haller,CIV,FW,West Ham,25,32,24,2266,25.2,7,1,190.0,right,29700000.0,2019.0
155,Grant Hanley,SCO,DF,Norwich City,27,15,14,1262,14.0,0,0,188.0,right,2200000.0,2019.0
156,Kortney Hause,ENG,DF,Aston Villa,24,18,17,1545,17.2,1,0,191.0,left,5500000.0,2019.0
157,Isaac Hayden,ENG,MF,Newcastle Utd,24,29,26,2223,24.7,1,2,186.0,right,11000000.0,2019.0
158,Tom Heaton,ENG,GK,Aston Villa,33,20,20,1794,19.9,0,0,188.0,right,1100000.0,2019.0
159,Dean Henderson,ENG,GK,Sheffield Utd,22,36,36,3240,36.0,0,0,188.0,right,24200000.0,2019.0
160,Jordan Henderson,ENG,MF,Liverpool,29,30,26,2238,24.9,4,5,187.0,right,22000000.0,2019.0
161,Jeff Hendrick,IRL,MF,Burnley,27,24,22,1931,21.5,2,2,185.0,right,9900000.0,2019.0
162,Wayne Hennessey,WAL,GK,Crystal Palace,32,3,3,270,3.0,0,0,197.0,right,1100000.0,2019.0
163,Onel Hernández,CUB,MF,Norwich City,26,26,14,1384,15.4,1,2,172.0,right,3520000.0,2019.0
164,Rob Holding,ENG,DF,Arsenal,23,8,6,581,6.5,0,0,189.0,right,19800000.0,2019.0
165,Mason Holgate,ENG,DF,Everton,22,27,24,2054,22.8,0,3,187.0,right,22000000.0,2019.0
166,Conor Hourihane,IRL,MF,Aston Villa,28,27,18,1534,17.0,3,5,181.0,left,3850000.0,2019.0
167,Callum Hudson-Odoi,ENG,FW,Chelsea,18,22,7,863,9.6,1,5,177.0,right,35200000.0,2019.0
168,Will Hughes,ENG,FW,Watford,24,30,27,2252,25.0,1,1,185.0,left,15950000.0,2019.0
169,Jordon Ibe,ENG,DF,Bournemouth,23,2,0,50,0.6,0,0,176.0,right,5280000.0,2019.0
170,Adam Idah,IRL,MF,Norwich City,18,12,1,228,2.5,0,0,190.0,right,990000.0,2019.0
171,Odion Ighalo,NGA,FW,Manchester Utd,30,11,0,101,1.1,0,0,181.0,right,3850000.0,2019.0
172,Kelechi Iheanacho,NGA,MF,Leicester City,22,20,12,960,10.7,5,3,185.0,left,22000000.0,2019.0
173,Danny Ings,ENG,FW,Southampton,27,38,32,2804,31.2,22,2,178.0,right,24200000.0,2019.0
174,Alex Iwobi,NGA,FW,Everton,23,25,19,1596,17.7,1,0,183.0,right,24200000.0,2019.0
175,Phil Jagielka,ENG,DF,Sheffield Utd,36,6,2,244,2.7,0,0,180.0,right,275000.0,2019.0
176,Alireza Jahanbakhsh,IRN,MF,Brighton,25,10,3,311,3.5,2,0,180.0,right,5500000.0,2019.0
177,Daniel James,WAL,FW,Manchester Utd,21,33,26,2287,25.4,3,6,170.0,right,19800000.0,2019.0
178,Matty James,ENG,MF,Leicester City,28,1,0,6,0.1,0,0,181.0,right,1100000.0,2019.0
179,Reece James,ENG,DF,Chelsea,19,24,16,1515,16.8,0,2,180.0,right,44000000.0,2019.0
180,Daryl Janmaat,NED,DF,Watford,30,8,7,607,6.7,0,1,185.0,right,4400000.0,2019.0
181,Gabriel Jesus,BRA,FW,Manchester City,22,34,21,2030,22.6,14,7,175.0,right,66000000.0,2019.0
182,Raúl Jiménez,MEX,FW,Wolves,28,38,37,3236,36.0,17,6,188.0,right,30800000.0,2019.0
183,Joelinton,BRA,FW,Newcastle Utd,22,38,32,2683,29.8,2,2,186.0,right,18700000.0,2019.0
