,Player,Age,MP,Starts,Min,90s,Gls,Ast,Height,Market Value,Year,Foot_both,Foot_left,Foot_right,Pos_x_DF,Pos_x_FW,Pos_x_GK,Pos_x_MF,Squad_OTHER,Squad_TOP_6,Nation_BRTSH,Nation_EU,Nation_WORLD
147,Andre Gray,28,23,7,755,8.4,2,0,178.0,10450000.0,2019.0,0,0,1,0,1,0,0,1,0,0,0,1
148,Demarai Gray,23,21,3,622,6.9,2,3,183.0,8800000.0,2019.0,0,0,1,0,1,0,0,1,0,1,0,0
149,Jack Grealish,23,36,36,3233,35.9,8,6,180.0,71500000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
150,Mason Greenwood,17,31,12,1320,14.7,10,1,181.0,55000000.0,2019.0,1,0,0,0,1,0,0,0,1,1,0,0
151,Pascal Groß,28,29,22,1796,20.0,2,4,181.0,7700000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
152,Vicente Guaita,32,35,35,3150,35.0,0,0,190.0,2200000.0,2019.0,0,0,1,0,0,1,0,1,0,0,1,0
153,Angus Gunn,23,10,10,900,10.0,0,0,196.0,3300000.0,2019.0,0,0,1,0,0,1,0,1,0,1,0,0
154,Sébastien Haller,25,32,24,2266,25.2,7,1,190.0,29700000.0,2019.0,0,0,1,0,1,0,0,1,0,0,0,1
155,Grant Hanley,27,15,14,1262,14.0,0,0,188.0,2200000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
156,Kortney Hause,24,18,17,1545,17.2,1,0,191.0,5500000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
157,Isaac Hayden,24,29,26,2223,24.7,1,2,186.0,11000000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
158,Tom Heaton,33,20,20,1794,19.9,0,0,188.0,1100000.0,2019.0,0,0,1,0,0,1,0,1,0,1,0,0
159,Dean Henderson,22,36,36,3240,36.0,0,0,188.0,24200000.0,2019.0,0,0,1,0,0,1,0,1,0,1,0,0
160,Jordan Henderson,29,30,26,2238,24.9,4,5,187.0,22000000.0,2019.0,0,0,1,0,0,0,1,0,1,1,0,0
161,Jeff Hendrick,27,24,22,1931,21.5,2,2,185.0,9900000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
162,Wayne Hennessey,32,3,3,270,3.0,0,0,197.0,1100000.0,2019.0,0,0,1,0,0,1,0,1,0,1,0,0
163,Onel Hernández,26,26,14,1384,15.4,1,2,172.0,3520000.0,2019.0,0,0,1,0,0,0,1,1,0,0,0,1
164,Rob Holding,23,8,6,581,6.5,0,0,189.0,19800000.0,2019.0,0,0,1,1,0,0,0,0,1,1,0,0
165,Mason Holgate,22,27,24,2054,22.8,0,3,187.0,22000000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
166,Conor Hourihane,28,27,18,1534,17.0,3,5,181.0,3850000.0,2019.0,0,1,0,0,0,0,1,1,0,1,0,0
167,Callum Hudson-Odoi,18,22,7,863,9.6,1,5,177.0,35200000.0,2019.0,0,0,1,0,1,0,0,0,1,1,0,0
168,Will Hughes,24,30,27,2252,25.0,1,1,185.0,15950000.0,2019.0,0,1,0,0,1,0,0,1,0,1,0,0
169,Jordon Ibe,23,2,0,50,0.6,0,0,176.0,5280000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
